id,value,feed_id,created_at,lat,lon,ele
0EPJS69HSK07VDW0CAG2TXP7Y7,1000.91,1589961,2021-03-28 09:49:45 UTC,,,
0EPJS6GNCSPMTS80QQC2ADEBZ7,1000.88,1589961,2021-03-28 09:50:08 UTC,,,
0EPJS6QSRKRFB3VPS718E8N1TH,1000.88,1589961,2021-03-28 09:50:31 UTC,,,
0EPJS6YXRDRTYGHFVEZ1HWCHW5,1000.88,1589961,2021-03-28 09:50:55 UTC,,,
0EPJS761SHEASVS6AB4GD57C0S,1000.87,1589961,2021-03-28 09:51:18 UTC,,,
0EPJS7D4S7PCWT73B13QKYHSFH,1000.88,1589961,2021-03-28 09:51:41 UTC,,,
0EPJS7M9W1ERJ70R4YTVS43KJX,1000.88,1589961,2021-03-28 09:52:05 UTC,,,
0EPJS7VE2NSDDEERGT2GRH5KXS,1000.87,1589961,2021-03-28 09:52:28 UTC,,,
0EPJS82HTGS57GZSS77ZBRKR3G,1000.87,1589961,2021-03-28 09:52:51 UTC,,,
0EPJS89NV766E1PWVCE6GVYETA,1000.86,1589961,2021-03-28 09:53:15 UTC,,,
0EPJS8GSSHQFN2S6DJJWDYVXMY,1000.87,1589961,2021-03-28 09:53:38 UTC,,,
0EPJS8QXWXRWHD0EAEEKXXWW99,1000.82,1589961,2021-03-28 09:54:01 UTC,,,
0EPJS8Z0SH6TQ22JDKEJX9YT7J,1000.81,1589961,2021-03-28 09:54:25 UTC,,,
0EPJS963TMDZN4RY3R4D4C6EG8,1000.86,1589961,2021-03-28 09:54:48 UTC,,,
0EPJS9D7Y883AP98EFXB8J85TA,1000.85,1589961,2021-03-28 09:55:11 UTC,,,
0EPJS9MB42ZX81CR9VDWEH0N8Q,1000.87,1589961,2021-03-28 09:55:35 UTC,,,
0EPJS9VETRJMR5TSA0TXXZVAAZ,1000.87,1589961,2021-03-28 09:55:58 UTC,,,
0EPJSA2GVGCSMA3X577P4SYWWE,1000.83,1589961,2021-03-28 09:56:21 UTC,,,
0EPJSA9KSSEVRTX6B6APKG0QZG,1000.83,1589961,2021-03-28 09:56:44 UTC,,,
0EPJSAGQVWQJB2BPFE4Z5ZGVZN,1000.85,1589961,2021-03-28 09:57:08 UTC,,,
